agent,trial,f1_frac_kyber768,f1_frac_mlkem768,f2_frac_firefox_ja4,f2_frac_h2,f2_frac_pq,f3_mean_ak_window,f3_frac_win_firefox,f3_mean_init_window,f4_frac_s3_w110,f4_frac_s3_w220,f5_frac_s5_w110,f5_frac_s5_w220,f5_frac_s5_w256,f6_stream3_coverage,f6_stream5_coverage,f7_ja3_diversity,f7_ip_diversity,f8_mean_cipher_count,f8_mean_curve_count,f8_mean_sig_count,f9_h2_pseudo_order,f9_ak_pseudo_order,f10_frac_ext16,f10_frac_ext17,f10_frac_firefox_ext,f11_grease_cipher,f11_grease_curve,f11_grease_ver,f12_log_n_requests
browser_use,trial-003,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
browser_use,trial-004,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
browser_use,trial-005,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
browser_use,trial-006,1.0,0.1,0.0,1.0,1.0,14929101.8,0.0,6501171.2,0.0,1.0,0.0,1.0,0.0,0.8,0.7,0.2,0.2,14.9,4.3,8.2,0.0,0.0,0.9,0.0,0.0,1.0,1.0,1.0,2.3978952727983707
browser_use,trial-007,0.8235294117647058,0.29411764705882354,0.0,0.8235294117647058,0.8235294117647058,13041665.0,0.0,7040438.857142857,0.0,1.0,0.0,1.0,0.0,0.47058823529411764,0.4117647058823529,0.23529411764705882,0.47058823529411764,15.058823529411764,4.823529411764706,8.823529411764707,0.0,0.0,0.5294117647058824,0.0,0.0,1.0,1.0,1.0,2.8903717578961645
browser_use,trial-008,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
browser_use,trial-009,1.0,0.25,0.0,1.0,1.0,13828097.0,0.0,6815744.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,0.5833333333333334,0.16666666666666666,0.3333333333333333,14.75,4.75,8.5,0.0,0.0,0.75,0.0,0.0,1.0,1.0,1.0,2.5649493574615367
browser_use,trial-010,1.0,0.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
browser_use,trial-011,0.0,0.11764705882352941,0.0,0.10588235294117647,0.11764705882352941,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.09411764705882353,0.08235294117647059,0.047058823529411764,0.058823529411764705,19.31764705882353,3.2,11.552941176470588,-1.0,0.0,0.10588235294117647,0.0,0.0,0.0,0.0,0.0,4.454347296253507
browser_use,trial-012,0.0,1.0,0.0,1.0,1.0,15663105.0,0.0,6291456.0,0.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.7777777777777778,0.1111111111111111,0.1111111111111111,15.0,4.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.302585092994046
